47131 :Obion, Tennessee
5009 :Boone, Arkansas
27005 :Becker, Minnesota
5011 :Bradley, Arkansas
5013 :Calhoun, Arkansas
49001 :Beaver, Utah
27007 :Beltrami, Minnesota
49003 :Box Elder, Utah
27009 :Benton, Minnesota
5015 :Carroll, Arkansas
5017 :Chicot, Arkansas
27011 :Big Stone, Minnesota
49005 :Cache, Utah
5019 :Clark, Arkansas
27013 :Blue Earth, Minnesota
49007 :Carbon, Utah
5021 :Clay, Arkansas
27015 :Brown, Minnesota
49009 :Daggett, Utah
27017 :Carlton, Minnesota
5023 :Cleburne, Arkansas
49011 :Davis, Utah
49013 :Duchesne, Utah
5025 :Cleveland, Arkansas
27019 :Carver, Minnesota
27021 :Cass, Minnesota
49015 :Emery, Utah
5027 :Columbia, Arkansas
27023 :Chippewa, Minnesota
49017 :Garfield, Utah
5029 :Conway, Arkansas
27025 :Chisago, Minnesota
5031 :Craighead, Arkansas
49019 :Grand, Utah
49021 :Iron, Utah
27027 :Clay, Minnesota
5033 :Crawford, Arkansas
27029 :Clearwater, Minnesota
49023 :Juab, Utah
5035 :Crittenden, Arkansas
49025 :Kane, Utah
5037 :Cross, Arkansas
27031 :Cook, Minnesota
49027 :Millard, Utah
27033 :Cottonwood, Minnesota
5039 :Dallas, Arkansas
49029 :Morgan, Utah
5041 :Desha, Arkansas
27035 :Crow Wing, Minnesota
49031 :Piute, Utah
5043 :Drew, Arkansas
27037 :Dakota, Minnesota
49033 :Rich, Utah
5045 :Faulkner, Arkansas
27039 :Dodge, Minnesota
27041 :Douglas, Minnesota
49035 :Salt Lake, Utah
5047 :Franklin, Arkansas
5049 :Fulton, Arkansas
49037 :San Juan, Utah
27043 :Faribault, Minnesota
5051 :Garland, Arkansas
49039 :Sanpete, Utah
27045 :Fillmore, Minnesota
5053 :Grant, Arkansas
49041 :Sevier, Utah
27047 :Freeborn, Minnesota
5055 :Greene, Arkansas
27049 :Goodhue, Minnesota
49043 :Summit, Utah
5057 :Hempstead, Arkansas
49045 :Tooele, Utah
27051 :Grant, Minnesota
49047 :Uintah, Utah
5059 :Hot Spring, Arkansas
27053 :Hennepin, Minnesota
49049 :Utah, Utah
5061 :Howard, Arkansas
27055 :Houston, Minnesota
49051 :Wasatch, Utah
5063 :Independence, Arkansas
27057 :Hubbard, Minnesota
49053 :Washington, Utah
27059 :Isanti, Minnesota
5065 :Izard, Arkansas
49055 :Wayne, Utah
27061 :Itasca, Minnesota
5067 :Jackson, Arkansas
27063 :Jackson, Minnesota
49057 :Weber, Utah
5069 :Jefferson, Arkansas
27065 :Kanabec, Minnesota
5071 :Johnson, Arkansas
5073 :Lafayette, Arkansas
27067 :Kandiyohi, Minnesota
27069 :Kittson, Minnesota
5075 :Lawrence, Arkansas
5077 :Lee, Arkansas
27071 :Koochiching, Minnesota
5079 :Lincoln, Arkansas
27073 :Lac Qui Parle, Minnesota
27075 :Lake, Minnesota
5081 :Little River, Arkansas
27077 :Lake of The Woods, Minnesota
5083 :Logan, Arkansas
27079 :Le Sueur, Minnesota
5085 :Lonoke, Arkansas
27081 :Lincoln, Minnesota
5087 :Madison, Arkansas
5089 :Marion, Arkansas
27083 :Lyon, Minnesota
27085 :McLeod, Minnesota
5091 :Miller, Arkansas
5093 :Mississippi, Arkansas
27087 :Mahnomen, Minnesota
27089 :Marshall, Minnesota
5095 :Monroe, Arkansas
27091 :Martin, Minnesota
27093 :Meeker, Minnesota
5099 :Nevada, Arkansas
5101 :Newton, Arkansas
27095 :Mille Lacs, Minnesota
27097 :Morrison, Minnesota
5103 :Ouachita, Arkansas
27099 :Mower, Minnesota
5105 :Perry, Arkansas
5107 :Phillips, Arkansas
27101 :Murray, Minnesota
27103 :Nicollet, Minnesota
5109 :Pike, Arkansas
5111 :Poinsett, Arkansas
27105 :Nobles, Minnesota
5113 :Polk, Arkansas
27107 :Norman, Minnesota
5115 :Pope, Arkansas
27109 :Olmsted, Minnesota
5117 :Prairie, Arkansas
27111 :Otter Tail, Minnesota
5119 :Pulaski, Arkansas
27113 :Pennington, Minnesota
27115 :Pine, Minnesota
5121 :Randolph, Arkansas
5123 :St Francis, Arkansas
27117 :Pipestone, Minnesota
27119 :Polk, Minnesota
5125 :Saline, Arkansas
5127 :Scott, Arkansas
27121 :Pope, Minnesota
27123 :Ramsey, Minnesota
5129 :Searcy, Arkansas
5131 :Sebastian, Arkansas
27125 :Red Lake, Minnesota
27127 :Redwood, Minnesota
5133 :Sevier, Arkansas
27129 :Renville, Minnesota
5135 :Sharp, Arkansas
27131 :Rice, Minnesota
5137 :Stone, Arkansas
27133 :Rock, Minnesota
5139 :Union, Arkansas
27135 :Roseau, Minnesota
5141 :Van Buren, Arkansas
5143 :Washington, Arkansas
27137 :St Louis, Minnesota
5145 :White, Arkansas
27139 :Scott, Minnesota
5147 :Woodruff, Arkansas
27141 :Sherburne, Minnesota
27143 :Sibley, Minnesota
5149 :Yell, Arkansas
24001 :Allegany, Maryland
27145 :Stearns, Minnesota
24003 :Anne Arundel, Maryland
27147 :Steele, Minnesota
24005 :Baltimore, Maryland
2013 :Aleutians East, Alaska
27149 :Stevens, Minnesota
27151 :Swift, Minnesota
46003 :Aurora, South Dakota
24009 :Calvert, Maryland
2016 :Aleutians West, Alaska
46005 :Beadle, South Dakota
24011 :Caroline, Maryland
27153 :Todd, Minnesota
46007 :Bennett, South Dakota
27155 :Traverse, Minnesota
24013 :Carroll, Maryland
2020 :Anchorage, Alaska
46009 :Bon Homme, South Dakota
24015 :Cecil, Maryland
27157 :Wabasha, Minnesota
24017 :Charles, Maryland
46011 :Brookings, South Dakota
27159 :Wadena, Minnesota
46013 :Brown, South Dakota
24019 :Dorchester, Maryland
27161 :Waseca, Minnesota
46015 :Brule, South Dakota
24021 :Frederick, Maryland
27163 :Washington, Minnesota
27165 :Watonwan, Minnesota
24023 :Garrett, Maryland
46017 :Buffalo, South Dakota
27167 :Wilkin, Minnesota
46019 :Butte, South Dakota
24025 :Harford, Maryland
46021 :Campbell, South Dakota
27169 :Winona, Minnesota
24027 :Howard, Maryland
46023 :Charles Mix, South Dakota
24029 :Kent, Maryland
27171 :Wright, Minnesota
24031 :Montgomery, Maryland
46025 :Clark, South Dakota
27173 :Yellow Medicine, Minnesota
24033 :Prince Georges, Maryland
46027 :Clay, South Dakota
24035 :Queen Annes, Maryland
46029 :Codington, South Dakota
24037 :St Marys, Maryland
46031 :Corson, South Dakota
46033 :Custer, South Dakota
24039 :Somerset, Maryland
46035 :Davison, South Dakota
24041 :Talbot, Maryland
46037 :Day, South Dakota
24043 :Washington, Maryland
2050 :Bethel, Alaska
46039 :Deuel, South Dakota
24045 :Wicomico, Maryland
24047 :Worcester, Maryland
46041 :Dewey, South Dakota
46043 :Douglas, South Dakota
46045 :Edmunds, South Dakota
46047 :Fall River, South Dakota
2060 :Bristol Bay, Alaska
46049 :Faulk, South Dakota
46051 :Grant, South Dakota
46053 :Gregory, South Dakota
46055 :Haakon, South Dakota
2068 :Denali, Alaska
46057 :Hamlin, South Dakota
2070 :Dillingham, Alaska
46059 :Hand, South Dakota
46061 :Hanson, South Dakota
46063 :Harding, South Dakota
46065 :Hughes, South Dakota
46067 :Hutchinson, South Dakota
46069 :Hyde, South Dakota
46071 :Jackson, South Dakota
46073 :Jerauld, South Dakota
46075 :Jones, South Dakota
46077 :Kingsbury, South Dakota
2090 :Fairbanks North Star, Alaska
46079 :Lake, South Dakota
46081 :Lawrence, South Dakota
46083 :Lincoln, South Dakota
46085 :Lyman, South Dakota
46087 :McCook, South Dakota
2100 :Haines, Alaska
46089 :McPherson, South Dakota
46091 :Marshall, South Dakota
46093 :Meade, South Dakota
46095 :Mellette, South Dakota
46097 :Miner, South Dakota
2110 :Juneau, Alaska
46099 :Minnehaha, South Dakota
46101 :Moody, South Dakota
46103 :Pennington, South Dakota
46105 :Perkins, South Dakota
46107 :Potter, South Dakota
46109 :Roberts, South Dakota
2122 :Kenai Peninsula, Alaska
46111 :Sanborn, South Dakota
46113 :Shannon, South Dakota
46115 :Spink, South Dakota
46117 :Stanley, South Dakota
2130 :Ketchikan Gateway, Alaska
46119 :Sully, South Dakota
46121 :Todd, South Dakota
46123 :Tripp, South Dakota
46125 :Turner, South Dakota
46127 :Union, South Dakota
46129 :Walworth, South Dakota
46135 :Yankton, South Dakota
46137 :Ziebach, South Dakota
21001 :Adair, Kentucky
2150 :Kodiak Island, Alaska
21003 :Allen, Kentucky
21005 :Anderson, Kentucky
21007 :Ballard, Kentucky
21009 :Barren, Kentucky
21011 :Bath, Kentucky
21013 :Bell, Kentucky
21015 :Boone, Kentucky
2164 :Lake and Peninsula, Alaska
21017 :Bourbon, Kentucky
21019 :Boyd, Kentucky
21021 :Boyle, Kentucky
2170 :Matanuska Susitna, Alaska
21023 :Bracken, Kentucky
21025 :Breathitt, Kentucky
21027 :Breckinridge, Kentucky
21029 :Bullitt, Kentucky
21031 :Butler, Kentucky
2180 :Nome, Alaska
21033 :Caldwell, Kentucky
21035 :Calloway, Kentucky
21037 :Campbell, Kentucky
2185 :North Slope, Alaska
21039 :Carlisle, Kentucky
2188 :Northwest Arctic, Alaska
21041 :Carroll, Kentucky
21043 :Carter, Kentucky
21045 :Casey, Kentucky
21047 :Christian, Kentucky
21049 :Clark, Kentucky
21051 :Clay, Kentucky
2201 :Prince Wales Ketchikan, Alaska
21053 :Clinton, Kentucky
21055 :Crittenden, Kentucky
21057 :Cumberland, Kentucky
21059 :Daviess, Kentucky
21061 :Edmonson, Kentucky
21063 :Elliott, Kentucky
21065 :Estill, Kentucky
21067 :Fayette, Kentucky
21069 :Fleming, Kentucky
21071 :Floyd, Kentucky
2220 :Sitka, Alaska
21073 :Franklin, Kentucky
21075 :Fulton, Kentucky
21077 :Gallatin, Kentucky
21079 :Garrard, Kentucky
21081 :Grant, Kentucky
21083 :Graves, Kentucky
2232 :Skagway Hoonah Angoon, Alaska
21085 :Grayson, Kentucky
21087 :Green, Kentucky
21089 :Greenup, Kentucky
21091 :Hancock, Kentucky
2240 :Southeast Fairbanks, Alaska
21093 :Hardin, Kentucky
21095 :Harlan, Kentucky
21097 :Harrison, Kentucky
21099 :Hart, Kentucky
21101 :Henderson, Kentucky
21103 :Henry, Kentucky
21105 :Hickman, Kentucky
21107 :Hopkins, Kentucky
21109 :Jackson, Kentucky
21111 :Jefferson, Kentucky
2261 :Valdez Cordova, Alaska
21113 :Jessamine, Kentucky
21115 :Johnson, Kentucky
21117 :Kenton, Kentucky
21119 :Knott, Kentucky
21121 :Knox, Kentucky
2270 :Wade Hampton, Alaska
21123 :Larue, Kentucky
21125 :Laurel, Kentucky
21127 :Lawrence, Kentucky
21129 :Lee, Kentucky
21131 :Leslie, Kentucky
2280 :Wrangell Petersburg, Alaska
21133 :Letcher, Kentucky
2282 :Yakutat, Alaska
21135 :Lewis, Kentucky
21137 :Lincoln, Kentucky
21139 :Livingston, Kentucky
21141 :Logan, Kentucky
2290 :Yukon Koyukuk, Alaska
18001 :Adams, Indiana
21143 :Lyon, Kentucky
18003 :Allen, Indiana
21145 :McCracken, Kentucky
21147 :McCreary, Kentucky
18005 :Bartholomew, Indiana
40001 :Adair, Oklahoma
21149 :Mclean, Kentucky
18007 :Benton, Indiana
21151 :Madison, Kentucky
40003 :Alfalfa, Oklahoma
18009 :Blackford, Indiana
40005 :Atoka, Oklahoma
18011 :Boone, Indiana
21153 :Magoffin, Kentucky
40007 :Beaver, Oklahoma
18013 :Brown, Indiana
21155 :Marion, Kentucky
21157 :Marshall, Kentucky
18015 :Carroll, Indiana
40009 :Beckham, Oklahoma
18017 :Cass, Indiana
21159 :Martin, Kentucky
40011 :Blaine, Oklahoma
18019 :Clark, Indiana
40013 :Bryan, Oklahoma
21161 :Mason, Kentucky
18021 :Clay, Indiana
21163 :Meade, Kentucky
40015 :Caddo, Oklahoma
21165 :Menifee, Kentucky
18023 :Clinton, Indiana
40017 :Canadian, Oklahoma
18025 :Crawford, Indiana
21167 :Mercer, Kentucky
40019 :Carter, Oklahoma
18027 :Daviess, Indiana
21169 :Metcalfe, Kentucky
40021 :Cherokee, Oklahoma
21171 :Monroe, Kentucky
40023 :Choctaw, Oklahoma
18029 :Dearborn, Indiana
18031 :Decatur, Indiana
40025 :Cimarron, Oklahoma
21173 :Montgomery, Kentucky
18033 :De Kalb, Indiana
21175 :Morgan, Kentucky
40027 :Cleveland, Oklahoma
40029 :Coal, Oklahoma
21177 :Muhlenberg, Kentucky
18035 :Delaware, Indiana
18037 :Dubois, Indiana
40031 :Comanche, Oklahoma
21179 :Nelson, Kentucky
40033 :Cotton, Oklahoma
21181 :Nicholas, Kentucky
18039 :Elkhart, Indiana
40035 :Craig, Oklahoma
21183 :Ohio, Kentucky
18041 :Fayette, Indiana
18043 :Floyd, Indiana
21185 :Oldham, Kentucky
40037 :Creek, Oklahoma
18045 :Fountain, Indiana
40039 :Custer, Oklahoma
21187 :Owen, Kentucky
18047 :Franklin, Indiana
21189 :Owsley, Kentucky
40041 :Delaware, Oklahoma
18049 :Fulton, Indiana
21191 :Pendleton, Kentucky
40043 :Dewey, Oklahoma
18051 :Gibson, Indiana
21193 :Perry, Kentucky
40045 :Ellis, Oklahoma
21195 :Pike, Kentucky
40047 :Garfield, Oklahoma
18053 :Grant, Indiana
18055 :Greene, Indiana
40049 :Garvin, Oklahoma
21197 :Powell, Kentucky
21199 :Pulaski, Kentucky
18057 :Hamilton, Indiana
40051 :Grady, Oklahoma
18059 :Hancock, Indiana
21201 :Robertson, Kentucky
40053 :Grant, Oklahoma
18061 :Harrison, Indiana
40055 :Greer, Oklahoma
21203 :Rockcastle, Kentucky
18063 :Hendricks, Indiana
40057 :Harmon, Oklahoma
21205 :Rowan, Kentucky
21207 :Russell, Kentucky
18065 :Henry, Indiana
40059 :Harper, Oklahoma
21209 :Scott, Kentucky
18067 :Howard, Indiana
40061 :Haskell, Oklahoma
21211 :Shelby, Kentucky
18069 :Huntington, Indiana
40063 :Hughes, Oklahoma
18071 :Jackson, Indiana
21213 :Simpson, Kentucky
40065 :Jackson, Oklahoma
18073 :Jasper, Indiana
21215 :Spencer, Kentucky
40067 :Jefferson, Oklahoma
18075 :Jay, Indiana
40069 :Johnston, Oklahoma
21217 :Taylor, Kentucky
40071 :Kay, Oklahoma
21219 :Todd, Kentucky
18077 :Jefferson, Indiana
18079 :Jennings, Indiana
40073 :Kingfisher, Oklahoma
21221 :Trigg, Kentucky
40075 :Kiowa, Oklahoma
18081 :Johnson, Indiana
21223 :Trimble, Kentucky
40077 :Latimer, Oklahoma
18083 :Knox, Indiana
21225 :Union, Kentucky
40079 :Le Flore, Oklahoma
18085 :Kosciusko, Indiana
21227 :Warren, Kentucky
21229 :Washington, Kentucky
40081 :Lincoln, Oklahoma
18087 :Lagrange, Indiana
40083 :Logan, Oklahoma
21231 :Wayne, Kentucky
18089 :Lake, Indiana
18091 :La Porte, Indiana
40085 :Love, Oklahoma
21233 :Webster, Kentucky
21235 :Whitley, Kentucky
18093 :Lawrence, Indiana
40087 :Mcclain, Oklahoma
40089 :McCurtain, Oklahoma
18095 :Madison, Indiana
21237 :Wolfe, Kentucky
40091 :McIntosh, Oklahoma
21239 :Woodford, Kentucky
18097 :Marion, Indiana
18099 :Marshall, Indiana
40093 :Major, Oklahoma
40095 :Marshall, Oklahoma
18101 :Martin, Indiana
40097 :Mayes, Oklahoma
18103 :Miami, Indiana
40099 :Murray, Oklahoma
18105 :Monroe, Indiana
40101 :Muskogee, Oklahoma
18107 :Montgomery, Indiana
18109 :Morgan, Indiana
40103 :Noble, Oklahoma
18111 :Newton, Indiana
40105 :Nowata, Oklahoma
40107 :Okfuskee, Oklahoma
18113 :Noble, Indiana
40109 :Oklahoma, Oklahoma
18115 :Ohio, Indiana
18117 :Orange, Indiana
40111 :Okmulgee, Oklahoma
40113 :Osage, Oklahoma
18119 :Owen, Indiana
18121 :Parke, Indiana
40115 :Ottawa, Oklahoma
18123 :Perry, Indiana
40117 :Pawnee, Oklahoma
18125 :Pike, Indiana
40119 :Payne, Oklahoma
40121 :Pittsburg, Oklahoma
18127 :Porter, Indiana
40123 :Pontotoc, Oklahoma
18129 :Posey, Indiana
40125 :Pottawatomie, Oklahoma
18131 :Pulaski, Indiana
18133 :Putnam, Indiana
40127 :Pushmataha, Oklahoma
18135 :Randolph, Indiana
40129 :Roger Mills, Oklahoma
18137 :Ripley, Indiana
40131 :Rogers, Oklahoma
18139 :Rush, Indiana
40133 :Seminole, Oklahoma
40135 :Sequoyah, Oklahoma
18141 :St Joseph, Indiana
18143 :Scott, Indiana
15001 :Hawaii, Hawaii
40137 :Stephens, Oklahoma
40139 :Texas, Oklahoma
18145 :Shelby, Indiana
15003 :Honolulu, Hawaii
18147 :Spencer, Indiana
40141 :Tillman, Oklahoma
40143 :Tulsa, Oklahoma
15007 :Kauai, Hawaii
18149 :Starke, Indiana
37001 :Alamance, North Carolina
37003 :Alexander, North Carolina
40145 :Wagoner, Oklahoma
18151 :Steuben, Indiana
15009 :Maui, Hawaii
37005 :Alleghany, North Carolina
40147 :Washington, Oklahoma
18153 :Sullivan, Indiana
37007 :Anson, North Carolina
40149 :Washita, Oklahoma
18155 :Switzerland, Indiana
40151 :Woods, Oklahoma
37009 :Ashe, North Carolina
18157 :Tippecanoe, Indiana
18159 :Tipton, Indiana
37011 :Avery, North Carolina
40153 :Woodward, Oklahoma
18161 :Union, Indiana
37013 :Beaufort, North Carolina
18163 :Vanderburgh, Indiana
37015 :Bertie, North Carolina
18165 :Vermillion, Indiana
37017 :Bladen, North Carolina
37019 :Brunswick, North Carolina
18167 :Vigo, Indiana
37021 :Buncombe, North Carolina
18169 :Wabash, Indiana
37023 :Burke, North Carolina
18171 :Warren, Indiana
18173 :Warrick, Indiana
37025 :Cabarrus, North Carolina
37027 :Caldwell, North Carolina
18175 :Washington, Indiana
18177 :Wayne, Indiana
37029 :Camden, North Carolina
18179 :Wells, Indiana
37031 :Carteret, North Carolina
18181 :White, Indiana
37033 :Caswell, North Carolina
18183 :Whitley, Indiana
37035 :Catawba, North Carolina
37037 :Chatham, North Carolina
37039 :Cherokee, North Carolina
37041 :Chowan, North Carolina
37043 :Clay, North Carolina
37045 :Cleveland, North Carolina
37047 :Columbus, North Carolina
37049 :Craven, North Carolina
37051 :Cumberland, North Carolina
37053 :Currituck, North Carolina
37055 :Dare, North Carolina
37057 :Davidson, North Carolina
37059 :Davie, North Carolina
37061 :Duplin, North Carolina
37063 :Durham, North Carolina
37065 :Edgecombe, North Carolina
37067 :Forsyth, North Carolina
37069 :Franklin, North Carolina
37071 :Gaston, North Carolina
37073 :Gates, North Carolina
37075 :Graham, North Carolina
37077 :Granville, North Carolina
24510 :Baltimore City, Maryland
37079 :Greene, North Carolina
37081 :Guilford, North Carolina
37083 :Halifax, North Carolina
37085 :Harnett, North Carolina
37087 :Haywood, North Carolina
37089 :Henderson, North Carolina
37091 :Hertford, North Carolina
37093 :Hoke, North Carolina
37095 :Hyde, North Carolina
37097 :Iredell, North Carolina
37099 :Jackson, North Carolina
37101 :Johnston, North Carolina
37103 :Jones, North Carolina
37105 :Lee, North Carolina
37107 :Lenoir, North Carolina
37109 :Lincoln, North Carolina
37111 :McDowell, North Carolina
37113 :Macon, North Carolina
37115 :Madison, North Carolina
37117 :Martin, North Carolina
37119 :Mecklenburg, North Carolina
37121 :Mitchell, North Carolina
37123 :Montgomery, North Carolina
37125 :Moore, North Carolina
37127 :Nash, North Carolina
37129 :New Hanover, North Carolina
37131 :Northampton, North Carolina
37133 :Onslow, North Carolina
37135 :Orange, North Carolina
12001 :Alachua, Florida
37137 :Pamlico, North Carolina
12003 :Baker, Florida
37139 :Pasquotank, North Carolina
12005 :Bay, Florida
37141 :Pender, North Carolina
12007 :Bradford, Florida
34001 :Atlantic, New Jersey
37143 :Perquimans, North Carolina
34003 :Bergen, New Jersey
37145 :Person, North Carolina
12009 :Brevard, Florida
37147 :Pitt, North Carolina
34005 :Burlington, New Jersey
12011 :Broward, Florida
34007 :Camden, New Jersey
12013 :Calhoun, Florida
56001 :Albany, Wyoming
37149 :Polk, North Carolina
12015 :Charlotte, Florida
37151 :Randolph, North Carolina
34009 :Cape May, New Jersey
56003 :Big Horn, Wyoming
12017 :Citrus, Florida
56005 :Campbell, Wyoming
37153 :Richmond, North Carolina
34011 :Cumberland, New Jersey
12019 :Clay, Florida
37155 :Robeson, North Carolina
34013 :Essex, New Jersey
56007 :Carbon, Wyoming
56009 :Converse, Wyoming
37157 :Rockingham, North Carolina
12021 :Collier, Florida
34015 :Gloucester, New Jersey
56011 :Crook, Wyoming
37159 :Rowan, North Carolina
12023 :Columbia, Florida
34017 :Hudson, New Jersey
34019 :Hunterdon, New Jersey
37161 :Rutherford, North Carolina
56013 :Fremont, Wyoming
37163 :Sampson, North Carolina
34021 :Mercer, New Jersey
56015 :Goshen, Wyoming
12027 :De Soto, Florida
12029 :Dixie, Florida
56017 :Hot Springs, Wyoming
34023 :Middlesex, New Jersey
37165 :Scotland, North Carolina
34025 :Monmouth, New Jersey
37167 :Stanly, North Carolina
12031 :Duval, Florida
56019 :Johnson, Wyoming
56021 :Laramie, Wyoming
37169 :Stokes, North Carolina
34027 :Morris, New Jersey
12033 :Escambia, Florida
12035 :Flagler, Florida
37171 :Surry, North Carolina
34029 :Ocean, New Jersey
56023 :Lincoln, Wyoming
12037 :Franklin, Florida
56025 :Natrona, Wyoming
34031 :Passaic, New Jersey
37173 :Swain, North Carolina
37175 :Transylvania, North Carolina
56027 :Niobrara, Wyoming
34033 :Salem, New Jersey
12039 :Gadsden, Florida
12041 :Gilchrist, Florida
34035 :Somerset, New Jersey
37177 :Tyrrell, North Carolina
56029 :Park, Wyoming
12043 :Glades, Florida
56031 :Platte, Wyoming
37179 :Union, North Carolina
34037 :Sussex, New Jersey
34039 :Union, New Jersey
12045 :Gulf, Florida
37181 :Vance, North Carolina
56033 :Sheridan, Wyoming
56035 :Sublette, Wyoming
12047 :Hamilton, Florida
34041 :Warren, New Jersey
37183 :Wake, North Carolina
37185 :Warren, North Carolina
12049 :Hardee, Florida
56037 :Sweetwater, Wyoming
56039 :Teton, Wyoming
37187 :Washington, North Carolina
12051 :Hendry, Florida
56041 :Uinta, Wyoming
12053 :Hernando, Florida
37189 :Watauga, North Carolina
12055 :Highlands, Florida
37191 :Wayne, North Carolina
56043 :Washakie, Wyoming
56045 :Weston, Wyoming
12057 :Hillsborough, Florida
37193 :Wilkes, North Carolina
12059 :Holmes, Florida
37195 :Wilson, North Carolina
12061 :Indian River, Florida
37197 :Yadkin, North Carolina
12063 :Jackson, Florida
37199 :Yancey, North Carolina
12065 :Jefferson, Florida
12067 :Lafayette, Florida
12069 :Lake, Florida
12071 :Lee, Florida
12073 :Leon, Florida
12075 :Levy, Florida
12077 :Liberty, Florida
12079 :Madison, Florida
12081 :Manatee, Florida
12083 :Marion, Florida
12085 :Martin, Florida
12086 :Miami-Dade, Florida
12087 :Monroe, Florida
12089 :Nassau, Florida
12091 :Okaloosa, Florida
12093 :Okeechobee, Florida
12095 :Orange, Florida
12097 :Osceola, Florida
12099 :Palm Beach, Florida
12101 :Pasco, Florida
12103 :Pinellas, Florida
12105 :Polk, Florida
12107 :Putnam, Florida
12109 :St Johns, Florida
12111 :St Lucie, Florida
12113 :Santa Rosa, Florida
12115 :Sarasota, Florida
12117 :Seminole, Florida
12119 :Sumter, Florida
12121 :Suwannee, Florida
12123 :Taylor, Florida
12125 :Union, Florida
12127 :Volusia, Florida
12129 :Wakulla, Florida
12131 :Walton, Florida
12133 :Washington, Florida
9001 :Fairfield, Connecticut
9003 :Hartford, Connecticut
9005 :Litchfield, Connecticut
9007 :Middlesex, Connecticut
31001 :Adams, Nebraska
31003 :Antelope, Nebraska
9009 :New Haven, Connecticut
9011 :New London, Connecticut
31005 :Arthur, Nebraska
31007 :Banner, Nebraska
53001 :Adams, Washington
9013 :Tolland, Connecticut
31009 :Blaine, Nebraska
53003 :Asotin, Washington
9015 :Windham, Connecticut
31011 :Boone, Nebraska
53005 :Benton, Washington
53007 :Chelan, Washington
31013 :Box Butte, Nebraska
53009 :Clallam, Washington
31015 :Boyd, Nebraska
53011 :Clark, Washington
31017 :Brown, Nebraska
31019 :Buffalo, Nebraska
53013 :Columbia, Washington
53015 :Cowlitz, Washington
31021 :Burt, Nebraska
31023 :Butler, Nebraska
53017 :Douglas, Washington
53019 :Ferry, Washington
31025 :Cass, Nebraska
53021 :Franklin, Washington
31027 :Cedar, Nebraska
53023 :Garfield, Washington
31029 :Chase, Nebraska
53025 :Grant, Washington
31031 :Cherry, Nebraska
53027 :Grays Harbor, Washington
31033 :Cheyenne, Nebraska
31035 :Clay, Nebraska
53029 :Island, Washington
31037 :Colfax, Nebraska
53031 :Jefferson, Washington
31039 :Cuming, Nebraska
53033 :King, Washington
53035 :Kitsap, Washington
31041 :Custer, Nebraska
53037 :Kittitas, Washington
31043 :Dakota, Nebraska
53039 :Klickitat, Washington
31045 :Dawes, Nebraska
31047 :Dawson, Nebraska
53041 :Lewis, Washington
53043 :Lincoln, Washington
31049 :Deuel, Nebraska
53045 :Mason, Washington
31051 :Dixon, Nebraska
31053 :Dodge, Nebraska
53047 :Okanogan, Washington
31055 :Douglas, Nebraska
53049 :Pacific, Washington
31057 :Dundy, Nebraska
53051 :Pend Oreille, Washington
31059 :Fillmore, Nebraska
53053 :Pierce, Washington
31061 :Franklin, Nebraska
53055 :San Juan, Washington
31063 :Frontier, Nebraska
53057 :Skagit, Washington
53059 :Skamania, Washington
31065 :Furnas, Nebraska
53061 :Snohomish, Washington
31067 :Gage, Nebraska
53063 :Spokane, Washington
31069 :Garden, Nebraska
53065 :Stevens, Washington
31071 :Garfield, Nebraska
31073 :Gosper, Nebraska
53067 :Thurston, Washington
53069 :Wahkiakum, Washington
31075 :Grant, Nebraska
31077 :Greeley, Nebraska
53071 :Walla Walla, Washington
53073 :Whatcom, Washington
31079 :Hall, Nebraska
53075 :Whitman, Washington
31081 :Hamilton, Nebraska
53077 :Yakima, Washington
31083 :Harlan, Nebraska
31085 :Hayes, Nebraska
31087 :Hitchcock, Nebraska
31089 :Holt, Nebraska
31091 :Hooker, Nebraska
31093 :Howard, Nebraska
31095 :Jefferson, Nebraska
31097 :Johnson, Nebraska
31099 :Kearney, Nebraska
31101 :Keith, Nebraska
31103 :Keya Paha, Nebraska
31105 :Kimball, Nebraska
31107 :Knox, Nebraska
31109 :Lancaster, Nebraska
31111 :Lincoln, Nebraska
31113 :Logan, Nebraska
31115 :Loup, Nebraska
31117 :McPherson, Nebraska
31119 :Madison, Nebraska
31121 :Merrick, Nebraska
31123 :Morrill, Nebraska
31125 :Nance, Nebraska
31127 :Nemaha, Nebraska
31129 :Nuckolls, Nebraska
31131 :Otoe, Nebraska
31133 :Pawnee, Nebraska
31135 :Perkins, Nebraska
31137 :Phelps, Nebraska
6001 :Alameda, California
31139 :Pierce, Nebraska
6003 :Alpine, California
31141 :Platte, Nebraska
6005 :Amador, California
6007 :Butte, California
31143 :Polk, Nebraska
28001 :Adams, Mississippi
28003 :Alcorn, Mississippi
31145 :Red Willow, Nebraska
6009 :Calaveras, California
6011 :Colusa, California
31147 :Richardson, Nebraska
28005 :Amite, Mississippi
6013 :Contra Costa, California
50001 :Addison, Vermont
31149 :Rock, Nebraska
28007 :Attala, Mississippi
6015 :Del Norte, California
28009 :Benton, Mississippi
50003 :Bennington, Vermont
31151 :Saline, Nebraska
50005 :Caledonia, Vermont
28011 :Bolivar, Mississippi
6017 :El Dorado, California
31153 :Sarpy, Nebraska
6019 :Fresno, California
28013 :Calhoun, Mississippi
31155 :Saunders, Nebraska
50007 :Chittenden, Vermont
50009 :Essex, Vermont
